,links,date,category
0,https://www.woolworths.co.za/prod/Food/Cleaning/Dishwashing/Dishwashing-Liquids/Sunlight-Original-Dishwashing-Liquid-750-ml/_/A-6001087358743?isFromPLP=true,2023-06-13,Cleaning
1,https://www.woolworths.co.za/prod/Food/Cleaning/Disinfectant-Bleach/Domestos-Lavender-Multipurpose-Blast-Thick-Bleach-750-ml/_/A-6001085120229?isFromPLP=true,2023-06-13,Cleaning
2,https://www.woolworths.co.za/prod/Food/Cleaning/Multi-Purpose-Surface-Cleaners/Handy-Andy-Lemon-Multi-Purpose-Cleaning-Cream-750-ml/_/A-6001087006057?isFromPLP=true,2023-06-13,Cleaning
3,https://www.woolworths.co.za/prod/Food/Cleaning/Dishwashing/Dishwashing-Liquids/Sunlight-Refill-Dishwash-Liquid-750-ml/_/A-6001087003490?isFromPLP=true,2023-06-13,Cleaning
4,https://www.woolworths.co.za/prod/Food/Cleaning/Disinfectant-Bleach/Domestos-Lemon-Fresh-Multipurpose-Thick-Bleach-750-ml/_/A-6001085010469?isFromPLP=true,2023-06-13,Cleaning
5,https://www.woolworths.co.za/prod/Food/Cleaning/Disinfectant-Bleach/Domestos-Summer-Fresh-Multipurpose-Thick-Bleach-750-ml/_/A-6001085116956?isFromPLP=true,2023-06-13,Cleaning
6,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Washing-Powder-Detergent/Skip-Anti-Ageing-Auto-Washing-Powder-2-kg/_/A-6001085126757?isFromPLP=true,2023-06-13,Cleaning
7,https://www.woolworths.co.za/prod/Food/Cleaning/Multi-Purpose-Surface-Cleaners/Handy-Andy-Multi-Purpose-Cleaning-Cream-750-ml/_/A-6001087006095?isFromPLP=true,2023-06-13,Cleaning
8,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Washing-Powder-Detergent/OMO-Auto-Washing-Powder-2-kg/_/A-6001085126733?isFromPLP=true,2023-06-13,Cleaning
9,https://www.woolworths.co.za/prod/Food/Cleaning/Disinfectant-Bleach/Domestos-White-and-Shine-Multipurpose-Thick-Bleach-750-ml/_/A-6001087365109?isFromPLP=true,2023-06-13,Cleaning
10,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Fabric-Softener/Sta-Soft-Hypo-Allergenic-Baby-Fabric-Softener-Refill-500-ml/_/A-6001067021551?isFromPLP=true,2023-06-13,Cleaning
11,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Washing-Powder-Detergent/Ariel-Auto-Concentrated-Washing-Liquid-1-5-L/_/A-4015600540173?isFromPLP=true,2023-06-13,Cleaning
12,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Washing-Powder-Detergent/Ariel-Auto-Washing-Powder-2-kg/_/A-5410076593835?isFromPLP=true,2023-06-13,Cleaning
13,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Washing-Powder-Detergent/Skip-Anti-Ageing-Auto-Washing-Liquid-1-5-L/_/A-6001087365932?isFromPLP=true,2023-06-13,Cleaning
14,https://www.woolworths.co.za/prod/Food/Cleaning/Dishwashing/Dishwashing-Liquids/Sunlight-Original-Dishwashing-Liquid-400-ml/_/A-6001085017598?isFromPLP=true,2023-06-13,Cleaning
15,https://www.woolworths.co.za/prod/Food/Cleaning/Dishwashing/Dishwashing-Liquids/W-Lab-3-in-1-Zesty-Lime-Dishwash-Liquid-750-ml/_/A-20003784?isFromPLP=true,2023-06-13,Cleaning
16,https://www.woolworths.co.za/prod/Food/Cleaning/Bathroom-Toilet-Cleaners/Duck-5-in1-Lavender-Advanced-Toilet-Cleaner-500-ml/_/A-6001298043605?isFromPLP=true,2023-06-13,Cleaning
17,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Fabric-Softener/Sta-Soft-Spring-Fresh-Fabric-Softener-Refill-500-ml/_/A-6001067004554?isFromPLP=true,2023-06-13,Cleaning
18,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Bleach-Stain-Remover-Soap/Omo-Auto-Laundry-Liquid-1-5-L/_/A-6001087356312?isFromPLP=true,2023-06-13,Cleaning
19,https://www.woolworths.co.za/prod/Food/Cleaning/Multi-Purpose-Surface-Cleaners/Mr-Min-Lavender-Multi-Surface-Cleaner-400-ml/_/A-6001106120689?isFromPLP=true,2023-06-13,Cleaning
20,https://www.woolworths.co.za/prod/Food/Cleaning/Multi-Purpose-Surface-Cleaners/3-in-1-Spicy-Citrus-Anti-Bacterial-Tile-Cleaner-750-ml/_/A-6009000716137?isFromPLP=true,2023-06-13,Cleaning
21,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Bleach-Stain-Remover-Soap/Vanish-Stain-Remover-Laundry-Detergent-500-ml/_/A-6001106111540?isFromPLP=true,2023-06-13,Cleaning
22,https://www.woolworths.co.za/prod/Food/Cleaning/Disinfectant-Bleach/Jik-Lemon-Fresh-1-5-L/_/A-6001106101336?isFromPLP=true,2023-06-13,Cleaning
23,https://www.woolworths.co.za/prod/Food/Cleaning/Multi-Purpose-Surface-Cleaners/Mr-Muscle-Mountain-Fresh-Tile-Cleaner-750-ml/_/A-6001298070090?isFromPLP=true,2023-06-13,Cleaning
24,https://www.woolworths.co.za/prod/Food/Cleaning/Disinfectant-Bleach/3-in-1-Anti-Bacterial-Lemon-Thick-Bleach-750-ml/_/A-6009000033357?isFromPLP=true,2023-06-13,Cleaning
25,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Washing-Powder-Detergent/Omo-Auto-Laundry-Washing-Powder-2-kg/_/A-6001087365437?isFromPLP=true,2023-06-13,Cleaning
26,https://www.woolworths.co.za/prod/Food/Cleaning/Dishwashing/Dishwashing-Liquids/W-Lab-3-in-1-Citrus-Anti-Bacterial-Dishwash-Liquid-750-ml/_/A-20138868?isFromPLP=true,2023-06-13,Cleaning
27,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Washing-Powder-Detergent/Ariel-Downy-Auto-Washing-Powder-2-kg/_/A-4084500587809?isFromPLP=true,2023-06-13,Cleaning
28,https://www.woolworths.co.za/prod/Food/Cleaning/Multi-Purpose-Surface-Cleaners/Handy-Andy-Potpourri-Multi-Purpose-Cleaning-Cream-750-ml/_/A-6001087008198?isFromPLP=true,2023-06-13,Cleaning
29,https://www.woolworths.co.za/prod/Food/Cleaning/Disinfectant-Bleach/Jik-Pot-Pourri-Detergent-1-5-L/_/A-6001106107338?isFromPLP=true,2023-06-13,Cleaning
30,https://www.woolworths.co.za/prod/Food/Cleaning/Bathroom-Toilet-Cleaners/Duck-in-Cistern-Blocks-Active-Clean-3-pk/_/A-6001298998585?isFromPLP=true,2023-06-13,Cleaning
31,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Fabric-Softener/Sta-Soft-Hypo-Allergenic-Baby-Fabric-Softener-2-L/_/A-6001067021544?isFromPLP=true,2023-06-13,Cleaning
32,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Washing-Powder-Detergent/Omo-Auto-Washing-Liquid-with-A-Touch-of-Comfort-1-5-L/_/A-6001087365475?isFromPLP=true,2023-06-13,Cleaning
33,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Fabric-Softener/Sta-Soft-Aromatherapy-Relax-Fabric-Softener-Refill-500-ml/_/A-6001067027126?isFromPLP=true,2023-06-13,Cleaning
34,https://www.woolworths.co.za/prod/Food/Cleaning/Washing-Powder-Detergents/Washing-Powder-Detergent/Skip-Intelligent-Perfect-Whites-Auto-Washing-Liquid-1-5-L/_/A-6001087375719?isFromPLP=true,2023-06-13,Cleaning
