name,barcode,price,weight,category,date
Listerine Zero Mild Mint Mouthwash 1 L,3574661202136,119.99,1.0,Household,16-05-2023
Hygiene Hand Wipes 10 Pcs,6009211638457,19.99,,Household,16-05-2023
Axe Black Body Spray 150 ml,6001087364614,39.99,0.15,Household,16-05-2023
Lemon Verbena Body Wash 500 ml,6009211662124,68.99,0.5,Household,16-05-2023
Nivea Soft Moisturising Cream 200 ml,5025970022574,51.99,0.2,Household,16-05-2023
Listerine Mild Berry Smart Rinse Mouthwash 500 ml,3574661352299,74.99,0.5,Household,16-05-2023
Nivea For Men Sport Shower Gel 250 ml,4005808130610,44.99,0.25,Household,16-05-2023
Dettol Hygiene Fresh Handwash Refill 200 ml,6001106124137,39.99,0.2,Household,16-05-2023
Pantene Pro-V Aqua Light Shampoo 400 ml,5013965696411,93.99,0.4,Household,16-05-2023
Lifestyle Libresse Ultra Thin Goodnight Pads 10 pk,7322540831016,29.99,,Household,16-05-2023
Lemon Verbena Hand Lotion 250 ml,6009211637313,58.99,0.25,Household,16-05-2023
Protex Herbal AntiGerm Soap 150 g,6001067004271,17.99,0.15,Household,16-05-2023
Protex Deep Clean AntiGerm Soap 4 x 150 g,6001067604853,54.99,0.6,Household,16-05-2023
Almond Milk and Vanilla Hand Lotion 250 ml,6009211637351,58.99,0.25,Household,16-05-2023
Johnson's Daily Essentials Refreshing Cleansing Facial Wipes 25 pcs,3574660583342,54.99,,Household,16-05-2023
Nivea Intensive Body Lotion 400 ml,4005808237135,72.99,0.4,Household,16-05-2023
Protex Deep Clean AntiGerm Soap 150 g,6001067004318,17.99,0.15,Household,16-05-2023
Kids Melon Scented Alcohol Free Face and Hand Wipes 60 pcs,6009178658772,44.99,,Household,16-05-2023
Lifestyle Libresse Daily Fresh Pantyliners 40 pk,7322540817775,32.99,,Household,16-05-2023
Bio-Oil Skincare Oil 125 ml,6009803459019,179.99,0.12,Household,16-05-2023
Dettol No-Touch Refill Hand Wash 250 ml,6001106124496,75.99,0.25,Household,16-05-2023
Listerine Mild Mint Smart Rinse Mouthwash 500 ml,3574661352824,74.99,0.5,Household,16-05-2023
Tresemmé Moisture Rich Conditioner 900 ml,5012254056691,108.99,0.9,Household,16-05-2023
Vaseline Blue Seal Original Petroleum Jelly 250 ml,6001087005661,49.99,0.25,Household,16-05-2023
Balancing Shampoo for Normal Hair 250 ml,6009211653399,89.99,0.25,Household,16-05-2023
