name,barcode,price,weight,category,date
"Soft Scoop Caramel, Chocolate & Vanilla Flavoured Ice Cream 2 L",6009189526046,79.99,2.0,Cleaning,16-05-2023
Soft Scoop Mixed Berry Flavoured Ice Cream 2 L,6009189526022,79.99,2.0,Cleaning,16-05-2023
Triple Caramel Dairy Ice Cream 2 L,6009189923999,104.99,2.0,Cleaning,16-05-2023
Low Fat Chocolate & Vanilla Frozen Yoghurt Selection 4 x 175 ml,6008000486392,91.99,0.7,Cleaning,16-05-2023
Low Fat Chocolate Frozen Yoghurt 175 ml,6009000805473,32.99,0.17,Cleaning,16-05-2023
Low Fat Vanilla Frozen Yoghurt 175 ml,6009000805480,32.99,0.17,Cleaning,16-05-2023
Low Fat Sabrosa Strawberry Frozen Yoghurt 175 ml,6009000805497,32.99,0.17,Cleaning,16-05-2023
Low Fat Tropical Fruit Frozen Yoghurt 175 ml,6009000805503,32.99,0.17,Cleaning,16-05-2023
Low Fat Blueberry Frozen Yoghurt 175 ml,6009173171399,32.99,0.17,Cleaning,16-05-2023
Low Fat Tropical & Strawberry Frozen Yoghurt Selection 4 x 175 ml,6001009028150,91.99,0.7,Cleaning,16-05-2023
Flat Bottom Party Ice Cream Cones 28 pk,6001622010167,44.99,,Cleaning,16-05-2023
Large Sugar Cones 12  pk,6009184536507,72.99,,Cleaning,16-05-2023
Mini Sugar Cones 18 pk,6009184536484,41.99,,Cleaning,16-05-2023
Extremely Creamy Italian Kisses Dairy Ice Cream 416 g,6001009028167,114.99,0.42,Cleaning,16-05-2023
Extremely Creamy Mini Vanilla Solos Dairy Ice Cream 6 x 50 g,6009000434482,109.99,0.3,Cleaning,16-05-2023
Extremely Creamy Mini Almond Solos 6 x 55 g,6009000434499,109.99,0.33,Cleaning,16-05-2023
Frozen Butter Scones 12 pk,20009724,112.99,,Cleaning,16-05-2023
Frozen Pancakes 20 pk,20023614,104.99,,Cleaning,16-05-2023
Frozen Triple Chocolate Mousse Cake 760 g,20110352,196.99,0.76,Cleaning,16-05-2023
Freshly Frozen Summer Fruits 350 g,6009195948740,64.99,0.35,Cleaning,16-05-2023
Freshly Frozen Blueberries 500 g,6009000623428,79.99,0.5,Cleaning,16-05-2023
Freshly Frozen Raspberries 400 g,6009173168870,69.99,0.4,Cleaning,16-05-2023
Freshly Frozen Berry Medley 350 g,6009178822166,69.99,0.35,Cleaning,16-05-2023
Frozen All Butter Puff Pastry Sheets 2 x 250 g,6009175398916,82.99,0.5,Cleaning,16-05-2023
Frozen Phyllo Pastry 500 g,6009178807309,52.99,0.5,Cleaning,16-05-2023
Frozen Puff Pastry Roll 400 g,6009000072486,39.99,0.4,Cleaning,16-05-2023
Frozen Oriental Bao Buns 300 g,6007875700510,159.99,0.3,Cleaning,16-05-2023
Frozen Plant Powered™ Falafel & Veg Pizza 377 g,6009217821860,79.99,0.38,Cleaning,16-05-2023
Frozen Tempura Hake Nuggets 400 g,6009223970385,84.99,0.4,Cleaning,16-05-2023
"Frozen Potato, Salmon & Spinach Stacks 500 g",6007875710267,149.99,0.5,Cleaning,16-05-2023
Frozen Caramel Cheesecake 820 g,6007875550689,189.99,0.82,Cleaning,16-05-2023
Frozen Falafel Selection Pack 340 g,6007875700534,95.99,0.34,Cleaning,16-05-2023
Frozen Jalapeño Popper Bites 260 g,6007875700541,99.99,0.26,Cleaning,16-05-2023
Frozen Beef Wellington Avg 960 g,2578490000001,634.49,0.96,Cleaning,16-05-2023
Frozen Beef Brisket with Dry Rub Avg 1.35 kg,2578460000000,364.49,35.0,Cleaning,16-05-2023
Freshly Frozen Yellowfin Tuna Portions 400 g,6001009028976,243.95,0.4,Cleaning,16-05-2023
Frozen Panko Crumbed Trout Goujons 400 g,6007875710281,189.99,0.4,Cleaning,16-05-2023
Frozen Lemon & Dill Half Norwegian Salmon Side 500 g,6009211447707,311.99,0.5,Cleaning,16-05-2023
Frozen Beech Smoked Deboned Medium Gammon Avg 800 g,2576570000002,212.48,0.8,Cleaning,16-05-2023
Frozen Beech Wood Smoked Kassler Chops Avg 800 g,2576560000005,44.0,0.8,Cleaning,16-05-2023
Frozen Wood Smoked Back Bacon 250 g,6009223970354,44.99,0.25,Cleaning,16-05-2023
Frozen Chicken Schnitzels Avg 800 g,2576480000000,110.49,0.8,Cleaning,16-05-2023
Frozen Easy to Cook Lamb Shanks Avg 1.5 kg,2576850000005,492.99,5.0,Cleaning,16-05-2023
Frozen English Muffins 4 pk,6009223967668,29.99,,Cleaning,16-05-2023
Frozen Beef Lasagne 1 kg,6009223777731,189.99,1.0,Cleaning,16-05-2023
Frozen Beef Steak Pie 650 g,6009223970613,124.99,0.65,Cleaning,16-05-2023
Frozen Chicken Pie 650 g,6009223970620,124.99,0.65,Cleaning,16-05-2023
Frozen Macaroni Cheese 1 kg,6009223777748,169.99,1.0,Cleaning,16-05-2023
12 Frozen Chicken Portions Avg 1.5 kg,2576410000001,130.48,5.0,Cleaning,16-05-2023
Frozen Bulk Grabouw Boerewors Avg 1.1 kg,2576500000003,164.99,1.0,Cleaning,16-05-2023
Frozen Bulk Stewing Beef Avg 1.1 kg,2576250000001,142.99,1.0,Cleaning,16-05-2023
Frozen Extra Lean Ostrich Mince 500 g,6009223970644,74.99,0.5,Cleaning,16-05-2023
Frozen Free Range Lamb Chops Avg 1.1 kg,2576280000002,296.99,1.0,Cleaning,16-05-2023
Frozen Lean Beef Mince 1 kg,6009223797661,179.99,1.0,Cleaning,16-05-2023
Frozen Matured Thick Cut Beef Sirloin Steaks Avg 300 g,2576390000008,78.0,0.3,Cleaning,16-05-2023
Frozen Matured Thick Cut Beef Rump Steak Avg 700 g,2576590000006,195.99,0.7,Cleaning,16-05-2023
Frozen Moroccan Pork Belly Espetadas Avg 800 g,2576320000009,119.99,0.8,Cleaning,16-05-2023
Frozen Beef Ox Liver Avg 450 g,2576380000001,67.5,0.45,Cleaning,16-05-2023
Frozen Whole Chicken Avg 1.5 kg,2576440000002,92.98,5.0,Cleaning,16-05-2023
Frozen Gluten Free Double Chocolate Muffins 4 pk,6007875212877,57.99,,Cleaning,16-05-2023
Frozen Gluten Free Hamburger Rolls 4 pk,6007875063592,47.99,,Cleaning,16-05-2023
Frozen Gluten Free Hot Dog Rolls 4 pk,6007875199482,47.99,,Cleaning,16-05-2023
Frozen Soft Rye Bread 500 g,6007875212891,43.99,0.5,Cleaning,16-05-2023
Frozen Bulk Pork Chops Avg 1.1 kg,2576360000007,208.99,1.0,Cleaning,16-05-2023
Frozen Brown Seeded Rolls 8 pk,6007875213027,24.99,,Cleaning,16-05-2023
Freshly Frozen Uncooked & Peeled Large Prawns 500 g,6001009011817,234.99,0.5,Cleaning,16-05-2023
2 Frozen Free Range Sundried Tomato Chicken Espetadas Avg 800 g,2576170000006,135.99,0.8,Cleaning,16-05-2023
6 Frozen Lemon & Black Pepper Marinated Chicken Kebabs 650 g,6009223967354,134.99,0.65,Cleaning,16-05-2023
Frozen Portuguese Peri Peri Butterflied Chicken Avg 1.5 kg,2576210000003,140.59,5.0,Cleaning,16-05-2023
Freshly Frozen Uncooked & Shell-On Large Prawns 500 g,6009173168900,234.99,0.5,Cleaning,16-05-2023
Frozen Crispy Chicken Breast Strips 1 kg,6009223968023,149.99,1.0,Cleaning,16-05-2023
Frozen Uncooked Whole Mussels 700 g,6009223003595,154.99,0.7,Cleaning,16-05-2023
Frozen Drum & Thigh Chicken Portions 1.5 kg,6008000200561,99.99,5.0,Cleaning,16-05-2023
Frozen Crumbed Chicken Nuggets 1 kg,6009223967965,149.99,1.0,Cleaning,16-05-2023
Frozen Country Crop Mix 1 kg,6009211273313,79.99,1.0,Cleaning,16-05-2023
Frozen Broccoli & Cauliflower Gratin 480 g,6009223004011,69.99,0.48,Cleaning,16-05-2023
Frozen Roasted Mexican-Style Corn Mix 500 g,6009214503714,49.99,0.5,Cleaning,16-05-2023
Chuckles® Mini Malt Dairy Ice Cream Cones 6 x 65 g,6009223701224,121.99,0.39,Cleaning,16-05-2023
Frozen Skin On Potato Chips 1 kg,6009223005117,64.99,1.0,Cleaning,16-05-2023
Freshly Frozen Blackberries 350 g,6009214501987,64.99,0.35,Cleaning,16-05-2023
Mini Strawberry & Vanilla Flavoured Dairy Ice Cream Cones 6 x 65 g,6009217629718,121.99,0.39,Cleaning,16-05-2023
Freshly Frozen Strawberries 350 g,6009207398679,69.99,0.35,Cleaning,16-05-2023
Freshly Frozen Summer Berries 350 g,6009214501970,64.99,0.35,Cleaning,16-05-2023
Frozen Lightly Dusted Cajun Hake Portions 450 g,6009223371441,134.99,0.45,Cleaning,16-05-2023
Frozen Panko Crumbed Hake Portions 550 g,6009214950792,164.99,0.55,Cleaning,16-05-2023
Frozen Potato & Cream Gratin 480 g,6009223159230,69.99,0.48,Cleaning,16-05-2023
Frozen Panko Crumbed Lemon & Black Pepper Hake Portions 550 g,6009214950785,164.99,0.55,Cleaning,16-05-2023
Frozen Panko Crumbed Smoked Hake Fillets 600 g,6009214595177,164.99,0.6,Cleaning,16-05-2023
Frozen Smoked Snoek & Sweet Potato Fish Cakes 4 x 100 g,6009207984445,113.99,0.4,Cleaning,16-05-2023
Frozen Teriyake Norwegian Salmon Steamer 500 g,6009223003632,299.99,0.5,Cleaning,16-05-2023
Frozen Mussels with Garlic & Herb Butter 500 g,6009214621319,119.99,0.5,Cleaning,16-05-2023
Frozen Lamb Burgers 6 x 100 g,6009214673219,124.99,0.6,Cleaning,16-05-2023
"Frozen Smoked Hake, Potato, Corn & Cheese Fish Cakes 500 g",6009207984452,124.99,0.5,Cleaning,16-05-2023
Frozen Trout Burgers 6 pk,6009217436514,134.99,,Cleaning,16-05-2023
Frozen Crumbed Vegetable Rounds 540 g,6009223211006,87.99,0.54,Cleaning,16-05-2023
Frozen Panko Crumbed Chicken & Mushroom Pockets 540 g,6009217485307,94.99,0.54,Cleaning,16-05-2023
Frozen Panko Crumbed Chicken Breast Fillets 550 g,6009217436460,94.99,0.55,Cleaning,16-05-2023
Frozen PlantLove™ Minced Soya  300 g,6009217300525,69.99,0.3,Cleaning,16-05-2023
Frozen PlantLove™ Soya Rounds 320 g,6009217300488,79.99,0.32,Cleaning,16-05-2023
Freshly Frozen Kingklip Steaks 400 g,6007875362831,179.99,0.4,Cleaning,16-05-2023
Frozen PlantLove™ Crumbed Savoury Soya Portions 400 g,6009217300471,79.99,0.4,Cleaning,16-05-2023
