INFO - 2023-06-13 21:19:09,893 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Family-Meals/Creamy-Chicken-Lasagne-1-kg/_/A-6009214229454?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:09,925 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Checklist-for-your-winter-getaway/Fresh-Butternut-Soup-600-g/_/A-20100056?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:09,958 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Side-Dishes/Roasting-Vegetables-1-5-kg/_/A-6009182009065?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:09,991 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Online-Feature/Content/Family-Meal-Ideas/Cottage-Pie-350-g/_/A-20007294?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,024 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-4-save-R30/Italian-Meals/Macaroni-Cheese-with-Bacon-300-g/_/A-20080709?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,059 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Kids-Meals/Kids-Meaty-Macaroni-Cheese-200-g/_/A-20184469?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,093 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Side-Dishes/Pumpkin-Fritters-260-g/_/A-6005000975901?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,126 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-4-save-R30/Italian-Meals/Macaroni-Cheese-Beef-Bolognese-300-g/_/A-20152130?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,157 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Prepared-Vegetables/Mixed-Veggie-Bags/Butternut-Pumpkin-Sweet-Potato-Mix-500-g/_/A-6009204926899?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,190 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Beef-Lasagne-2-kg/_/A-20188320?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,222 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/One-tray-wonders/Baby-Potatoes-with-Garlic-Herb-Butter-350-g/_/A-20046002?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:19:10,254 - Pagination_Ready_meals: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-4-save-R30/Italian-Meals/Chicken-Lasagne-300-g/_/A-6001009000811?isFromPLP=true appended into product link list.
