INFO - 2023-06-13 21:36:23,316 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Beef-Lamb-Poultry-Pork/Frozen-Drum-Thigh-Chicken-Portions-1-5-kg/_/A-6008000200561?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,373 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Desserts-Fruit-Bakery/Frozen-All-Butter-Puff-Pastry-Sheets-2-x-250-g/_/A-6009175398916?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,433 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Desserts-Fruit-Bakery/Frozen-Phyllo-Pastry-500-g/_/A-6009178807309?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,480 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Desserts-Fruit-Bakery/Frozen-Puff-Pastry-Roll-400-g/_/A-6009000072486?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,513 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Freshly-Frozen-Diced-Vegetable-Mix-1-kg/_/A-20159207?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,548 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Freshly-Frozen-Garden-Peas-1-kg/_/A-20029388?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,580 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Freshly-Frozen-Peas-Sweetcorn-Kernels-750-g/_/A-6001009008237?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,629 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Freshly-Frozen-Peas-Baby-Carrots-Sweetcorn-Kernels-1-kg/_/A-20012502?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,664 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Freshly-Frozen-Sweetcorn-Kernels-1-kg/_/A-20109615?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,701 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Frozen-Country-Crop-Mix-1-kg/_/A-6009211273313?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,729 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Frozen-Petits-Pois-Peas-500-g/_/A-20038717?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,762 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Frozen-Battered-Onion-Rings-500-g/_/A-6009171051198?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,797 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Frozen-Broccoli-Cauliflower-Gratin-480-g/_/A-6009223004011?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,855 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Frozen-Mashed-Potato-1-kg/_/A-6009173621757?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,881 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Vegetables/Frozen-Roasted-Mexican-Style-Corn-Mix-500-g/_/A-6009214503714?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:36:23,913 - Pagination_Frozen_food: -https://www.woolworths.co.za/prod/Food/Frozen-Food/Chips-Rice-Potatoes/Frozen-Savoury-Basmati-Rice-Mix-1-kg/_/A-6009182980777?isFromPLP=true appended into product link list.
