INFO - 2023-06-13 21:33:37,745 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Household/Foil-Cling-Wax-Baking-Paper/Heavyweight-Foil-Refill-10-m/_/A-6009101060115?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:37,794 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Toilet-Paper-Tissues-Wipes/Baby-Soft-Flushable-Toilet-Tissue-Wipes-42-pk/_/A-6001019908060?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:37,828 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Household/Cooking-Storage-Bags-Containers/Mini-Resealable-Snack-Bags-30-pk/_/A-6009189029943?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:37,874 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Household/Insect-Repellents-Auto-Dispensers/Doom-Super-Multi-Insect-Spray-300-ml/_/A-6001206413681?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:37,907 - Pagination_Household: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Your-foolproof-fish-braai/Heavyweight-Foil-10-m/_/A-20076726?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:37,940 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Cleaning/Multi-Purpose-Surface-Cleaners/Earth-Friendly-Oven-and-Braai-Cleaner-500-ml/_/A-6009214457949?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:37,972 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Pantry/Condiments-Sauces-Pastes/Marinades-Braai-Sauces/Original-BBQ-Braai-Marinade-750-ml/_/A-6001009005847?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:38,007 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Household/Refuse-Bags-Liners/Garden-Refuse-Bags-10-pk/_/A-20172848?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:38,042 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Household/Serviettes-Paper-Towels-and-Disposables/1-Ply-Everyday-Serviettes-50-pk/_/A-20188573?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:38,075 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Household/Refuse-Bags-Liners/Heavy-Duty-Bags-10-pk/_/A-20206390?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:38,124 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Household/Braai-Essentials/Braai-Wood-Charcoal-Lighters/Bic-Mega-Lighter/_/A-3086126788388?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:33:38,156 - Pagination_Household: -https://www.woolworths.co.za/prod/Food/Pantry/Herbs-Spices/Rubs/Lamb-Rub-65-g/_/A-6009207762074?isFromPLP=true appended into product link list.
