INFO - 2023-06-13 21:17:39,671 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Wraps-Naan-Pitas/Fresh-Tortilla-Wraps-6-x-44-g/_/A-6009184329970?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:39,706 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Bread/Oats-Honey-Flavoured-White-Bread-700-g/_/A-6009000547465?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:39,739 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Muffins-Scones-Croissants/Assorted-Muffin-Selection-12-pk/_/A-20163464?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:39,770 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Savoury-Crackers/Bakers-Salticrax-200-g/_/A-6001056414425?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:39,803 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Rolls/White-Rolls/Our-Ultimate-Burger-Buns-4-x-80-g/_/A-6009175305778?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:39,844 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Biscuits/Bakers-Original-Red-Label-Lemon-Cream-Biscuits-200-g/_/A-6001056411004?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:39,889 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Bread/Speciality-Bread/Ciabatta-Bread-400-g/_/A-20114916?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:39,952 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Best-ever-baked-cheesecake/Chocolate-Digestives-200-g/_/A-20118600?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:39,987 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Muffins-Scones-Croissants/Chocolate-Muffins-4-pk/_/A-6009184421377?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,036 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Rolls/Brown-Rolls/Brown-Seeded-Rolls-2-pk/_/A-20118969?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,070 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Rolls/Brown-Rolls/Brown-Hamburger-Rolls-6-pk/_/A-20186678?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,102 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Cakes-Pastries-Desserts/Muffins-Scones-Croissants/Carrot-Pecan-Nut-Muffins-4-pk/_/A-6009184419251?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,136 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Cakes-Pastries-Desserts/Desserts/Chilled-Dessert/Chocolate-Mousse-1-L/_/A-20148089?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,169 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Cakes-Pastries-Desserts/Muffins-Scones-Croissants/Vanilla-Choc-Chunk-Muffins-4-pk/_/A-6009184420783?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,209 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Rolls/White-Rolls/Cheese-Rolls-4-pk/_/A-20187583?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,237 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Savoury-Crackers/Bakers-Provita-Original-Wheat-Toast-Crackerbread-125-g/_/A-6001056414319?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,310 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Savoury-Crackers/Bakers-Provita-Wholewheat-Crispbread-4-x-125-g/_/A-6001056414340?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,350 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Bread/Speciality-Bread/100-Rye-Bread-400-g/_/A-6001009038821?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,403 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Muffins-Scones-Croissants/English-Muffins-4-pk/_/A-20024697?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,520 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Savoury-Crackers/Playful-Penguins-Mini-Cheese-Flavoured-Crackers-6-x-28-g/_/A-6009101884940?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,585 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Breakfast/All-Butter-Croissants-4-pk/_/A-20018986?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,635 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Hot-Cross-Chelsea-Buns/Extra-Spicy-Hot-Cross-Buns-6-pk/_/A-20107208?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,725 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Savoury-Crackers/Bakers-Salticrax-400-g/_/A-6009704171409?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,765 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Heat-Eat-Bake-at-Home/Heat-Eat-Garlic-Butter-Filled-Baguette-280-g/_/A-20198350?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,820 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Cakes-Pastries-Desserts/Cakes-Tarts/Milk-Tart-600-g/_/A-6008000535939?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:40,996 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Savoury-Crackers/Three-Cheese-Straws-125-g/_/A-20178048?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,147 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Bread/Speciality-Bread/Crushed-Wheat-Sourdough-Bread-400-g/_/A-6009204547407?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,250 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Cakes-Pastries-Desserts/Pastries-Pancakes-Waffles/Plain-Flapjacks-6-pk/_/A-20019303?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,307 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Cakes-Pastries-Desserts/Muffins-Scones-Croissants/Blueberry-Muffins-4-pk/_/A-6009184421384?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,333 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Savoury-Crackers/Bakers-Provita-Rye-Toast-Crackerbread-125-g/_/A-6001056414333?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,366 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Rolls/White-Rolls/Our-Ultimate-Hotdog-Rolls-4-pk/_/A-6009182479738?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,399 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Muffins-Scones-Croissants/Lemon-Poppyseed-Muffins-4-pk/_/A-6009184420752?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,428 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Bread/Speciality-Bread/Soft-Rye-Bread-500-g/_/A-20061685?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,448 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Biscuits/Bakers-Iced-Zoo-Vanilla-Flavoured-Biscuits-150-g/_/A-6001056036702?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,469 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Biscuits/Bakers-Original-Classic-Choc-Romany-Creams-200-g/_/A-6001125001877?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,516 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Leftover-Prosecco/Butter-Shortbread-220-g/_/A-6009175277402?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,545 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Pantry/Biscuits-Rusks-Crackers/Savoury-Crackers/Bakers-Cream-Crackers-200-g/_/A-6001056414296?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,567 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Heat-Eat-Bake-at-Home/Heat-Eat-Mini-Garlic-Butter-Baguettes-4-pk/_/A-6001009028624?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,598 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Free-Range-Eggs-and-Made-with-Free-Range-Eggs/Chilled-Desserts/Mini-Koeksisters-12-pk/_/A-20099442?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,632 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Wraps-Naan-Pitas/Fresh/White-Pita-Bread-6-pk/_/A-20018771?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:41,633 - Pagination_Bread_Bakery_Deserts: -len(product_links) collected...
INFO - 2023-06-13 21:17:44,988 - Pagination_Bread_Bakery_Deserts: -Next page button clicked
INFO - 2023-06-13 21:17:49,144 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Muffins-Scones-Croissants/All-Butter-Scones-4-pk/_/A-6005000982442?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:49,200 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Cakes-Pastries-Desserts/Cakes-Tarts/Madeira-Butter-Cake-Loaf-260-g/_/A-20009205?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:49,249 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Muffins-Scones-Croissants/Cheese-Herb-Muffins-4-pk/_/A-6001009012968?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:49,463 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Cakes-Pastries-Desserts/Desserts/Chilled-Dessert/Medium-Fat-Dairy-Dessert-with-Caramel-Sauce-3-x-100-ml/_/A-20192860?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:49,619 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/How-to-Videos/Boerewors-Burgers/Heat-Eat-Portuguese-Rolls-6-pk/_/A-20114237?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:49,685 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Heat-Eat-Bake-at-Home/Heat-Eat-Ciabatta-Rolls-6-pk/_/A-6009214539775?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:49,716 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Bread-Rolls-Wraps-Bagels/Wraps-Naan-Pitas/Long-Life/Multiseed-Wraps-8-x-54-g/_/A-6009178807422?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:17:49,748 - Pagination_Bread_Bakery_Deserts: -https://www.woolworths.co.za/prod/Food/Bread-Bakery-Desserts/Cakes-Pastries-Desserts/Cakes-Tarts/Banana-Cake-Loaf-320-g/_/A-6001009036315?isFromPLP=true appended into product link list.
