INFO - 2023-06-13 21:13:38,995 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Veggie-quiche/Whole-Broccoli-Avg-400-g/_/A-2906825000004?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,029 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Bulk-Everyday-Potatoes-3-kg/_/A-6009184264455?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,065 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Fruit/Blueberries-200-g/_/A-20017309?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,096 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Vegetables/Carrots-Beetroot/Medium-Carrots-500-g/_/A-20008307?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,131 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Salads-Herbs/Cucumbers/Mediterranean-Cucumber-150-g-250-g/_/A-20179045?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,163 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Instant-crowd-pleaser/Butternut-500-g/_/A-20008444?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,214 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Online-Feature/Recipes/Roast-glazed-gammon/Brown-Onions-1-kg/_/A-20008215?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,245 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Fruit/Apples-Pears/Ripe-Ready-Juicy-Pears-6-pk/_/A-20051587?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,279 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Fresh-Fruit/Papaya-Mango-Pineapple-Kiwi-Fruit/Papaya-Punnet/_/A-20052119?isFromPLP=true appended into product link list.
INFO - 2023-06-13 21:13:39,312 - Pagination_Fruit_Veg: -https://www.woolworths.co.za/prod/Food/Fruit-Vegetables-Salads/Salads-Herbs/Tomatoes/Slicing-Tomatoes-4-pk/_/A-20101480?isFromPLP=true appended into product link list.
