name,barcode,price,weight,category,date
Fresh Sweet & Sour Stir-Fry Sauce 100 g,6009184396286,22.99,0.1,Ready_meals,29-05-2023
"Butternut, Swiss Chard & Red Onion Bake 725 g",6009182954716,72.99,0.72,Ready_meals,29-05-2023
Chunky Roasting Vegetables 800 g,6009214493459,39.99,0.8,Ready_meals,29-05-2023
Stonebaked Caprese Pizza 510 g,6009189001000,109.99,0.51,Ready_meals,29-05-2023
Chicken Broccoli 350 g,20102135,87.99,0.35,Ready_meals,29-05-2023
Chicken Biryani 350 g,6009207099569,87.99,0.35,Ready_meals,29-05-2023
Fresh Pour Over Cheese Sauce 200 g,20040000,48.99,0.2,Ready_meals,29-05-2023
Fresh Country Vegetable Soup 600 g,20139919,42.99,0.6,Ready_meals,29-05-2023
Potato Croquettes with Creamy Potato Mash 520 g,6009214464879,59.99,0.52,Ready_meals,29-05-2023
Creamy Potato Mash 500 g,6009214464855,54.99,0.5,Ready_meals,29-05-2023
Chicken Korma 350 g,20147686,94.99,0.35,Ready_meals,29-05-2023
Cheese & Tomato Pizza 90 g,6009173925343,36.99,0.09,Ready_meals,29-05-2023
Chicken Biryani 1 kg,6009195402808,199.99,1.0,Ready_meals,29-05-2023
Chicken Arrabbiata 300 g,6009214535302,69.99,0.3,Ready_meals,29-05-2023
Quiche Lorraine 2 x 150 g,20081058,75.99,0.3,Ready_meals,29-05-2023
Braised Beef Stew 350 g,6009189968822,92.99,0.35,Ready_meals,29-05-2023
PlantLove™ Crumbed Savoury Soya Portions 200 g,6009214014845,49.99,0.2,Ready_meals,29-05-2023
Mozzarella Arancini Balls 18 pk,6009189652608,82.99,,Ready_meals,29-05-2023
Fresh Pea & Ham Soup 600 g,20139926,59.99,0.6,Ready_meals,29-05-2023
Spaghetti Bolognese 400 g,6009182759540,79.99,0.4,Ready_meals,29-05-2023
Vegetarian™ Vegetable Risotto Kyivs 2 pk,6009211641235,49.99,,Ready_meals,29-05-2023
Sesame Chicken Noodle 400 g,6009207323695,89.99,0.4,Ready_meals,29-05-2023
Tuna Penne 300 g,6009182759595,69.99,0.3,Ready_meals,29-05-2023
Spinach & Feta Quiche 2 x 150 g,20081065,75.99,0.3,Ready_meals,29-05-2023
Spinach & Ricotta Ravioli 250 g,20120825,79.99,0.25,Ready_meals,29-05-2023
PlantLove™ Crumbed Savoury Soya Bites 160 g,6009214014722,49.99,0.16,Ready_meals,29-05-2023
Vegetarian™ Vegetable Phyllo Parcels 2 pk,6009211641242,56.99,,Ready_meals,29-05-2023
Fresh Beef & Country Vegetable Soup 600 g,6005000811834,64.99,0.6,Ready_meals,29-05-2023
Stonebaked Ham & Mushroom Pizza 2 x 405 g,6008000614542,179.99,0.81,Ready_meals,29-05-2023
