INFO - 2023-05-29 20:31:49,527 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Dips-P-t-s-Spreads/Reduced-Fat-Hummus-180-g/_/A-6001009027740?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,547 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Savoury-Snacks/Cooked-Protein/Chicken-Frikkadels-250-g/_/A-6005000261103?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,575 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Summer-Living/Snack-Time/Sliced-Spicy-Butter-Basted-Chicken-Breast-140-g/_/A-6009189904462?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,597 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Pack-a-Picnic/Deli-Meats-Fish-Dips-Pate-s-Sushi/Chicken-Samoosas-16-pk/_/A-20070205?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,624 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Beef-Cold-Meats/Wafer-Thin-Beef-Pastrami-125-g/_/A-6009173704481?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,647 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Sausages-Viennas/Beech-Wood-Smoked-Bockwurst-Sausages-375-g/_/A-20078010?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,735 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Pork-Cold-Meats/Wafer-Thin-Smoked-Ham-125-g/_/A-20077853?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,851 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Ready-To-Eat-Roasts/Roast-Chicken-Butter-Basted-Breast-Fillets-Avg-250-g/_/A-2034510000005?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,881 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Savoury-Snacks/Cooked-Protein/Beef-Frikkadels-250-g/_/A-20124564?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,906 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Chicken-Turkey-Cold-Meats/Sliced-Smoked-Chicken-250-g/_/A-6009195431150?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,927 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Kids/Kids-Lunches/Beef-Cheese-Sliders-8-pk/_/A-6001009023605?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,956 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Continental-Meats/Sliced-Salami-100-g/_/A-20171667?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,976 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Online-Feature/Featured-for-Content/Recipes/Snack-Better/Roasted-Red-Pepper-Hummus-180-g/_/A-20197353?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:49,995 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Savoury-Snacks/BBQ-Chicken-Mini-Fillets-250-g/_/A-6009171172190?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,047 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Pork-Cold-Meats/Sliced-Cooked-Ham-250-g/_/A-20075880?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,136 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Dips-P-t-s-Spreads/Sour-Cream-Chive-Dip-160-g/_/A-20103187?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,252 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Savoury-Snacks/BBQ-Chicken-Kebabs-300-g/_/A-20170912?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,276 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Ready-To-Eat-Roasts/Free-Range-Smoked-Chicken-Breasts-Avg-230-g/_/A-2023260000007?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,311 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Pork-Cold-Meats/Sliced-Cooked-Ham-125-g/_/A-20000585?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,341 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Sausages-Viennas/Cheese-Cocktail-Viennas-375-g/_/A-20092566?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,373 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Savoury-Snacks/Beef-Chutney-Frikkadels-250-g/_/A-6009178649381?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,411 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Savoury-Snacks/Chicken-Cheese-Frikkadels-250-g/_/A-6009178649374?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,450 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R70/Simply-Add/Sliced-BBQ-Chicken-Breast-140-g/_/A-6009211657991?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,473 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Save-10-/Buy-6-Bulk-Meats-Save-10-/Sliced-Salami-200-g/_/A-6009195431013?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,517 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Chicken-Turkey-Cold-Meats/Wafer-Thin-Smoked-Chicken-125-g/_/A-20099473?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,540 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Dips-P-t-s-Spreads/Sun-Dried-Tomato-Basil-Layered-Dip-200-g/_/A-20197360?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,559 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Fish/Oak-Smoked-Trout-Ribbons-200-g/_/A-20200497?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,577 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Dips-P-t-s-Spreads/Caramelised-Onion-Hummus-180-g/_/A-6009195265502?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,599 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Savoury-Snacks/Vegetable-Spring-Rolls-12-pk/_/A-6009182056144?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,620 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Entertaining-Platters/Beef-Sausage-Rolls-24-pk/_/A-20078485?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,641 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Dips-P-t-s-Spreads/Hummus-360-g/_/A-6009184714684?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,659 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Dips-P-t-s-Spreads/Liver-Spread-125-g/_/A-20056735?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,688 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Sausages-Viennas/Beech-Wood-Smoked-Cheese-Grillers-375-g/_/A-6009178477786?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,709 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Fish/Hot-Smoked-Peppered-Mackerel-Avg-160-g/_/A-2027000000005?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,738 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Fish/Oak-Smoked-Trout-Ribbons-100-g/_/A-20159443?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:50,758 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Milk-Dairy-Eggs/Cheese/Entertaining-Platters-Dairy-Dips/Sour-Cream-Chives-Dip-175-g/_/A-6009207425252?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:51,019 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R130/Proscuito-Crudo/Prosciutto-Crudo-70-g/_/A-20155582?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:51,019 - Pagination_Deli_Entertaining: -len(product_links) collected...
INFO - 2023-05-29 20:31:55,880 - Pagination_Deli_Entertaining: -Next page button clicked
INFO - 2023-05-29 20:31:59,599 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-Save-20-/Sausages-Bangers/Chicken-Cocktail-Viennas-375-g/_/A-6009214259499?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:59,638 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Ready-To-Eat-Roasts/Chicken-Breasts-Butter-Basted-Avg-500-g/_/A-2084340000003?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:59,674 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Dips-P-t-s-Spreads/Caramelised-Onion-Balsamic-Dip-160-g/_/A-6009182191852?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:59,714 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Ready-To-Eat-Roasts/Ready-to-Eat-Corned-Tongue-Avg-640-g/_/A-2034160000004?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:59,754 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Entertaining-Platters/Vegetable-Samoosas-16-pk/_/A-20046736?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:59,839 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Fish/Oak-Smoked-Salmon-Ribbons-100-g/_/A-20153151?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:59,918 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-3-save-20-/Deli-Snacks/Pork-Chipolatas-200-g/_/A-6009101775408?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:31:59,985 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Milk-Dairy-Eggs/Cheese/Entertaining-Platters-Dairy-Dips/Balsamic-Onion-Dip-175-g/_/A-6009207425269?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,034 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Deli-Meats/Continental-Meats/Chorizo-Sarta-Pork-Sausage-210-g/_/A-6001009002945?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,090 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Savoury-Snacks/Sesame-Crusted-Chicken-Strips-250-g/_/A-6009182056151?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,119 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Online-Feature/Content/Tapas/BBQ-Chicken-Pancakes-8-pk/_/A-20173227?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,145 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Meals-Sides/Indian-Asian-Mexican-Meals/Mozzarella-Arancini-Balls-18-pk/_/A-6009189652608?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,168 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R70/Simply-Add/Sliced-Free-Range-Smoked-Chicken-Breast-140-g/_/A-6009211538153?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,191 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Entertaining-Platters/Falafel-150-g/_/A-6009189788475?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,218 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Dips-P-t-s-Spreads/Tzatziki-150-g/_/A-6001009027818?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,240 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-save-R15/Sliced-Salami/Turkey-Pastrami-125-g/_/A-6009000937037?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,269 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Savoury-Snacks/Beef-Mince-Curry-Vetkoek-15-pk/_/A-6009175594219?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,290 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Entertaining-Platters/Sliced-Peppered-Salami-100-g/_/A-20171650?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,318 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-3-save-20-/Deli-Snacks/Smoked-Salmon-P-t-125-g/_/A-6009195040765?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:00,345 - Pagination_Deli_Entertaining: -https://www.woolworths.co.za/prod/Food/Deli-Entertaining/Dips-P-t-s-Spreads/Feta-Herb-Dip-160-g/_/A-6009189786266?isFromPLP=true appended into product link list.
