INFO - 2023-05-29 19:41:56,848 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R78/Fresh-Juice-1-5L/100-Mixed-Berry-Fruit-Juice-Blend-1-5-L/_/A-6009189517402?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:56,879 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Make-It-Winning/Breezy-Breakfasts/Pressed-Juice-Smoothies/Cold-Pressed-Green-100-Juice-250-ml/_/A-6009189957734?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:56,899 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Make-It-Winning/Breezy-Breakfasts/Pressed-Juice-Smoothies/Cold-Pressed-Beetroot-Bliss-100-Juice-250-ml/_/A-6009189957727?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:56,928 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Make-It-Winning/Breezy-Breakfasts/Pressed-Juice-Smoothies/Cold-Pressed-Carrot-100-Juice-250-ml/_/A-6009189957321?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:56,948 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Chilled-Juice/Freshly-Squeezed-Juices/100-Freshly-Squeezed-Ruby-Grapefruit-Juice-1-L/_/A-6009173966834?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:56,979 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Chilled-Juice/Freshly-Squeezed-Juices/100-Freshly-Squeezed-Ruby-Grapefruit-Juice-300-ml/_/A-6009173966803?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,001 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-5-for-R85/Juice-shots-100ml/Cold-Pressed-Vitamin-C-Shot-100-ml/_/A-6009204206038?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,028 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-5-for-R85/Juice-shots-100ml/Cold-Pressed-Ginger-Shot-100-ml/_/A-6009204205680?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,075 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Online-Feature/Content/Eating-Well/Trending/Cold-Pressed-Beetroot-Bliss-100-Juice-750-ml/_/A-6009204378339?isFromPLP=true appended into product link list.
INFO - 2023-05-29 19:41:57,099 - Pagination_Deli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Online-Feature/Content/Eating-Well/Trending/Cold-Pressed-Green-100-Juice-750-ml/_/A-6009204378346?isFromPLP=true appended into product link list.
