INFO - 2023-05-29 12:55:34,070 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Online-Feature/Featured-for-Content/Recipes/Free-Range-Braai/Free-Range-Chicken-Drumsticks-Thighs-Avg-1-8-kg/_/A-2024220000006?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,088 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Braai/Sweet-Sticky-Pork-Loin-Ribs-Avg-1-kg/_/A-2570890000001?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,104 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Poultry/Roasts-Whole-Chickens/Whole-Chicken-Avg-1-3-kg/_/A-2032920000004?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,120 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Pork/Roasts/Medium-Ready-to-Cook-Gammon-Avg-1-7-kg/_/A-2028540000005?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,139 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Poultry/Roasts-Whole-Chickens/Savoury-Deboned-Chicken-Avg-1-kg/_/A-2064510000002?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,161 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Poultry/Chicken-Portions-Other/Free-Range-Skinless-Chicken-Breasts-Avg-850-g/_/A-2084860000002?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,179 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Braai/Tuscan-Rub-Chicken-Roast-with-a-Butter-Brine-Based-Blend-Avg-1-2-kg/_/A-2032130000009?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,199 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Eid-Shop/Eid-Feast/Eid-Lunch/Easy-to-Cook-Roast/Free-Range-Deboned-Leg-of-Lamb-with-Rosemary-Garlic-Avg-1-kg/_/A-2009330000009?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,216 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Easy-Roasts-Meals/Chicken-Other-Poultry/Savoury-Rub-Chicken-Roast-with-a-Butter-Brine-Based-Blend-Avg-1-2-kg/_/A-2020270000003?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,235 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Mince-Meatballs/Free-Range-Lean-Beef-Mince-1-kg/_/A-6009171288785?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,250 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Pork/Roasts/Pork-Fillet-Avg-400-g/_/A-2004890000001?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,266 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Beef/Steaks/Half-Beef-Fillet-Avg-680-g/_/A-2029840000009?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,282 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Poultry/Chicken-Portions-Other/Chicken-Drumsticks-Thighs-Avg-900-g/_/A-2084900000009?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,300 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Beef/Steaks/Matured-Thick-Cut-Beef-Rump-Steak-Avg-700-g/_/A-2028900000003?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,317 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Poultry/Crumbed/Crumbed-Free-Range-Chicken-Schnitzels-Avg-700-g/_/A-2097370000004?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,334 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Poultry/Roasts-Whole-Chickens/Whole-Chicken-Avg-3-kg/_/A-2070940000000?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,351 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Pork/Chops-Other/Pork-Loin-Chops-Avg-1-1-kg/_/A-2565660000008?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,369 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Beef/Steaks/Seasoned-Rump-Beef-Steak-Avg-300-g/_/A-2064680000000?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,388 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Ready-Meals/Plant-Based-Ready-Meals/PlantLove-Swiss-Chard-Sweetcorn-Butter-Bean-Rounds-4-pk/_/A-20201814?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,405 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Poultry/Chicken-Portions-Other/Skinless-Chicken-Mini-Breast-Fillets-400-g/_/A-20035419?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,421 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Braai/Free-Range-Lamb-Ribbetjies-Avg-600-g/_/A-2031710000002?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,438 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Beef/Steaks/Matured-Thick-Cut-Beef-Rib-Eye-Steak-Avg-600-g/_/A-2028920000007?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,455 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Lamb/Cuts-Other/Free-Range-Lamb-Knuckles-Avg-750-g/_/A-2031680000002?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,470 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Pork/Chops-Other/Pork-Loin-Chops-Avg-500-g/_/A-2004980000003?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:55:34,487 - Pagination_Meat_poultry_fish: -https://www.woolworths.co.za/prod/Food/Meat-Poultry-Fish/Poultry/Chicken-Portions-Other/Chicken-Portions-Value-Pack-Avg-3-kg/_/A-2070960000004?isFromPLP=true appended into product link list.
