INFO - 2023-05-29 13:01:21,687 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Body-Care/Deodorants-Antiperspirants/Womens-Roll-On/Dove-Original-Roll-On-50-ml/_/A-60098764?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:21,748 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Oral-Care/Mouthwash/Listerine-Cool-Mint-Anti-Bacterial-Mouthwash-500-ml/_/A-6001135009450?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:21,781 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Oral-Care/Toothpaste/Colgate-Gel-Toothpaste-100-ml/_/A-6001067066293?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:21,814 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Health-Pharmacy/Medical/Panado-Tablets-Blister-Pack-24-Tablets/_/A-6001206421983?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:21,835 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Hand-Foot-Nail-Care/Cottonwool-Buds/Paper-Stem-Cotton-Buds-100-pk/_/A-6009101145379?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:21,884 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Oral-Care/Mouthwash/Listerine-Freshburst-Anti-Bacterial-Mouthwash-500-ml/_/A-6001135009498?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:21,932 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Health-Pharmacy/Medical/Panado-24-Tablets/_/A-60011053?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,015 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Kids/Kids-Aquafresh-My-Big-Teeth-Toothpaste-50-ml/_/A-6001076139704?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,081 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Oral-Care/Toothpaste/Colgate-Triple-Action-Original-Mint-Toothpaste-100-ml/_/A-6920354814891?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,117 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Hand-Foot-Nail-Care/Hand-Wash-Waterless-Cleansers/Fresh-Mint-3-in-1-Hygiene-Handwash-250-ml/_/A-6009204724990?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,166 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Feminine-Care/Pads-Liners/Always-Ultra-Night-Pads-7-pk/_/A-4015400501008?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,232 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Health-Pharmacy/Medical/Elastoplast-Water-Resistant-Plasters-20-pk/_/A-4005800042782?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,293 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Bath-Shower-Soap/Body-Scrubs-Wash-Shower-Gels/Sanex-Dermo-Hypo-Allergenic-Shower-Gel-500-ml/_/A-8714789762524?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,332 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Oral-Care/Toothpaste/Sensodyne-Complete-Protection-Toothpaste-75-ml/_/A-6001076192662?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,378 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Bath-Shower-Soap/Everyday-Soap-Bars/Lux-Soft-Caress-Beauty-Soap-175-g/_/A-6001087361286?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,413 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Body-Care/Lotions-Balms-Body-Butters/Nivea-Rich-Nourishing-Moisturiser-Body-Lotion-400-ml/_/A-4005808236879?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,454 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Bath-Shower-Soap/Everyday-Soap-Bars/Protex-Fresh-AntiGerm-Soap-150-g/_/A-6001067004264?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,486 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Facial-Care/Cleansers-Toners/Nivea-3-In-1-Gentle-Cleansing-Facial-Wipes-25-pk/_/A-4005808185245?isFromPLP=true appended into product link list.
INFO - 2023-05-29 13:01:22,515 - Pagination_Toiletries_health: -https://www.woolworths.co.za/prod/Food/Toiletries-Health/Body-Care/Deodorants-Antiperspirants/Womens-Roll-On/Dove-Go-Fresh-Cucumber-and-Green-Tea-Antiperspirant-Deodorant-Roll-on-50-ml/_/A-60017505?isFromPLP=true appended into product link list.
