INFO - 2023-05-29 12:59:23,897 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R50/Fruit-Juices-Blends/100-Mixed-Berry-Fruit-Juice-Blend-500-ml/_/A-6009189517327?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:23,915 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R78/Fresh-Juice-1-5L/100-Mixed-Berry-Fruit-Juice-Blend-1-5-L/_/A-6009189517402?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:23,941 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Make-It-Winning/Breezy-Breakfasts/Pressed-Juice-Smoothies/Cold-Pressed-Green-100-Juice-250-ml/_/A-6009189957734?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:23,963 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Make-It-Winning/Breezy-Breakfasts/Pressed-Juice-Smoothies/Cold-Pressed-Beetroot-Bliss-100-Juice-250-ml/_/A-6009189957727?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:23,978 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Make-It-Winning/Breezy-Breakfasts/Pressed-Juice-Smoothies/Cold-Pressed-Carrot-100-Juice-250-ml/_/A-6009189957321?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:23,995 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Chilled-Juice/Freshly-Squeezed-Juices/100-Freshly-Squeezed-Ruby-Grapefruit-Juice-1-L/_/A-6009173966834?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,012 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Chilled-Juice/Freshly-Squeezed-Juices/100-Freshly-Squeezed-Ruby-Grapefruit-Juice-300-ml/_/A-6009173966803?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,031 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-5-for-R85/Juice-shots-100ml/Cold-Pressed-Vitamin-C-Shot-100-ml/_/A-6009204206038?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,045 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-5-for-R85/Juice-shots-100ml/Cold-Pressed-Ginger-Shot-100-ml/_/A-6009204205680?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,062 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Online-Feature/Content/Eating-Well/Trending/Cold-Pressed-Beetroot-Bliss-100-Juice-750-ml/_/A-6009204378339?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,079 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Online-Feature/Content/Eating-Well/Trending/Cold-Pressed-Green-100-Juice-750-ml/_/A-6009204378346?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,096 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Online-Feature/Content/Eating-Well/Trending/Cold-Pressed-Carrot-100-Juice-750-ml/_/A-6009204378353?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,112 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-save-R6/Cold-Pressed-And-Functional-Smoothie-250ml/Cold-Pressed-Passion-Punch-100-Juice-250-ml/_/A-6009204963818?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,130 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R50/Fruit-Juices-Blends/100-Mango-and-Pineapple-Fruit-Juice-Blend-500-ml/_/A-6009204963849?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,145 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R78/Fresh-Juice-1-5L/100-Mango-and-Pineapple-Fruit-Juice-Blend-1-5-L/_/A-6009204921740?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,162 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Appletiser-100-Sparkling-Apple-Juice-275-ml/_/A-6001048003323?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,178 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Bulk-Shopping-Items/Appletiser-100-Sparkling-Apple-Juice-6-x-275-ml/_/A-6001048003330?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,195 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Appletiser-100-Sparkling-Apple-Juice-750-ml/_/A-6001048000902?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,211 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Grapetiser-100-Sparkling-Red-Grape-Juice-750-ml/_/A-6001048000933?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,230 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Grapetiser-100-Sparkling-Red-Grape-Juice-6-x-275-ml/_/A-6001048003392?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,251 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Grapetiser-100-Sparkling-Red-Grape-Juice-275-ml/_/A-6001048003385?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,266 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Branded-Soda/Grapetiser-100-Sparkling-White-Grape-Juice-275-ml/_/A-6001048003354?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,282 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/4-and-6-Packs/Soda-Energy-Drinks/Grapetiser-100-Sparkling-White-Grape-Juice-6-x-275-ml/_/A-6001048003361?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,299 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/100-Red-Grape-Juice-1-L/_/A-6009101252343?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,318 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Apple-100-Fruit-Juice-200-ml/_/A-20082703?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,333 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Apple-100-Fruit-Juice-6-x-200-ml/_/A-20094447?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,349 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Apple-100-Fruit-Juice-1-L/_/A-20074067?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,372 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Cherry-and-Berry-100-Fruit-Juice-Blend-1-L/_/A-6001009006301?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,389 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Fruit-Cocktail-100-Fruit-Juice-Blend-200-ml/_/A-20127664?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,406 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Fruit-Cocktail-100-Fruit-Juice-Blend-6-x-200-ml/_/A-20127671?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,422 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Granadilla-100-Fruit-Juice-Blend-1-L/_/A-20159368?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,441 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Litchi-100-Fruit-Juice-Blend-200-ml/_/A-20157340?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,459 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Litchi-100-Fruit-Juice-Blend-6-x-200-ml/_/A-20157357?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,477 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-4-for-R70/Fruit-Juice-Blend-1L/Litchi-100-Fruit-Juice-Blend-1-L/_/A-20097936?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,494 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Mango-and-Orange-100-Fruit-Juice-Blend-200-ml/_/A-20082680?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,510 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Mango-and-Orange-100-Fruit-Juice-Blend-6-x-200-ml/_/A-20094478?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,528 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Mango-and-Orange-100-Fruit-Juice-Blend-1-L/_/A-20033729?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,544 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Mixed-Berry-100-Juice-Blend-1-L/_/A-20159375?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,561 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Orange-100-Fruit-Juice-Blend-1-L/_/A-20011987?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,577 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/100-Red-Grape-Juice-200-ml/_/A-6009101956319?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,597 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/100-Red-Grape-Juice-6-x-200-ml/_/A-6009101956333?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,615 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/100-Strawberry-Fruit-Juice-Blend-200-ml/_/A-20097202?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:24,615 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -len(product_links) collected...
INFO - 2023-05-29 12:59:25,866 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -Next page button clicked
INFO - 2023-05-29 12:59:28,252 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Strawberry-100-Fruit-Juice-Blend-6-x-200-ml/_/A-20098674?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:28,270 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Fruit-Cocktail-Fruit-100-Juice-Blend-1-L/_/A-20097943?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:28,287 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Carrot-and-Orange-100-Fruit-and-Vegetable-Juice-Blend-1-L/_/A-6009189862793?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:28,312 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Tomato-Cocktail-100-Juice-Blend-1-L/_/A-6009189862786?isFromPLP=true appended into product link list.
INFO - 2023-05-29 12:59:28,337 - Pagination_Milk_Dairy_EggsDeli_EntertainingBeverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Boxed-Juices/Cranberry-100-Fruit-Juice-Blend-1-L/_/A-6009204751262?isFromPLP=true appended into product link list.
