INFO - 2023-05-29 20:32:46,979 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Make-It-Winning/Breezy-Breakfasts/Pressed-Juice-Smoothies/Cold-Pressed-Beetroot-Bliss-100-Juice-250-ml/_/A-6009189957727?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:46,998 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Make-It-Winning/Breezy-Breakfasts/Pressed-Juice-Smoothies/Cold-Pressed-Carrot-100-Juice-250-ml/_/A-6009189957321?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,026 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Chilled-Juice/Freshly-Squeezed-Juices/100-Freshly-Squeezed-Ruby-Grapefruit-Juice-1-L/_/A-6009173966834?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,047 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Fruit-Vegetable-Juices/Chilled-Juice/Freshly-Squeezed-Juices/100-Freshly-Squeezed-Ruby-Grapefruit-Juice-300-ml/_/A-6009173966803?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,066 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-5-for-R85/Juice-shots-100ml/Cold-Pressed-Vitamin-C-Shot-100-ml/_/A-6009204206038?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,091 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-5-for-R85/Juice-shots-100ml/Cold-Pressed-Ginger-Shot-100-ml/_/A-6009204205680?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,110 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Online-Feature/Content/Eating-Well/Trending/Cold-Pressed-Beetroot-Bliss-100-Juice-750-ml/_/A-6009204378339?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,135 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Online-Feature/Content/Eating-Well/Trending/Cold-Pressed-Green-100-Juice-750-ml/_/A-6009204378346?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,158 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Online-Feature/Content/Eating-Well/Trending/Cold-Pressed-Carrot-100-Juice-750-ml/_/A-6009204378353?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,177 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-save-R6/Cold-Pressed-And-Functional-Smoothie-250ml/Cold-Pressed-Passion-Punch-100-Juice-250-ml/_/A-6009204963818?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,197 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R50/Fruit-Juices-Blends/100-Mango-and-Pineapple-Fruit-Juice-Blend-500-ml/_/A-6009204963849?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,227 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Promotions/Buy-2-Or-More-And-Save/Buy-any-2-for-R78/Fresh-Juice-1-5L/100-Mango-and-Pineapple-Fruit-Juice-Blend-1-5-L/_/A-6009204921740?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,248 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Appletiser-100-Sparkling-Apple-Juice-275-ml/_/A-6001048003323?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,275 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Food-Basket/Banners/Bulk-Shopping-Items/Appletiser-100-Sparkling-Apple-Juice-6-x-275-ml/_/A-6001048003330?isFromPLP=true appended into product link list.
INFO - 2023-05-29 20:32:47,297 - Pagination_Beverages_Juices: -https://www.woolworths.co.za/prod/Food/Beverages-Juices/Sodas/Sparkling-Fruit-Drinks/Appletiser-100-Sparkling-Apple-Juice-750-ml/_/A-6001048000902?isFromPLP=true appended into product link list.
