name,barcode,price,weight,category,date
Cheese & Herb Muffins 4 pk,6001009012968,56.99,,Bread_Bakery_Deserts,29-05-2023
Medium Fat Dairy Dessert with Caramel Sauce 3 x 100 ml,20192860,39.99,0.3,Bread_Bakery_Deserts,29-05-2023
Heat & Eat Portuguese Rolls 6 pk,20114237,46.99,,Bread_Bakery_Deserts,29-05-2023
Heat & Eat Ciabatta Rolls 6 pk,6009214539775,46.99,,Bread_Bakery_Deserts,29-05-2023
Multiseed Wraps 8 x 54 g,6009178807422,52.99,0.43,Bread_Bakery_Deserts,29-05-2023
Banana Cake Loaf 320 g,6001009036315,54.99,0.32,Bread_Bakery_Deserts,29-05-2023
Vanilla Flavoured Doughnut Pops 10 pk,20151799,34.99,,Bread_Bakery_Deserts,29-05-2023
White Flour Wraps 8 x 54 g,6009178807347,52.99,0.43,Bread_Bakery_Deserts,29-05-2023
Malva Pudding 430 g,20078515,89.99,0.43,Bread_Bakery_Deserts,29-05-2023
Pecan Fudge Shortbread 220 g,6009175277419,64.99,0.22,Bread_Bakery_Deserts,29-05-2023
Plain Rice Cakes 100 g,20084806,29.99,0.1,Bread_Bakery_Deserts,29-05-2023
Brown Sandwich Bread Thins 8 Slices,6009211226357,15.99,,Bread_Bakery_Deserts,29-05-2023
Rosemary Crackers 250 g,20205782,54.99,0.25,Bread_Bakery_Deserts,29-05-2023
Bakers Original Choc-Kits 200 g,6001056119009,31.99,0.2,Bread_Bakery_Deserts,29-05-2023
Bakers Original Mini Eet-Sum-Mor Biscuits 5 x 40 g,6009704170662,39.99,0.2,Bread_Bakery_Deserts,29-05-2023
Sour Cream Flavoured Rice Crackers 100 g,6009171121143,32.99,0.1,Bread_Bakery_Deserts,29-05-2023
Multiseed Bread 480 g,6009195644703,61.99,0.48,Bread_Bakery_Deserts,29-05-2023
All Butter Shortbread Biscuits 220 g,20133542,62.99,0.22,Bread_Bakery_Deserts,29-05-2023
Bakers Original Ginger Nuts Biscuits 200 g,6001056294003,32.99,0.2,Bread_Bakery_Deserts,29-05-2023
Syrup Waffles 6 pk,20107017,33.99,,Bread_Bakery_Deserts,29-05-2023
Rosemary Crackers 185 g,6009101884858,41.99,0.18,Bread_Bakery_Deserts,29-05-2023
Mini Cheese Flavoured Rice Crackers 15 g,6009171329631,9.99,0.01,Bread_Bakery_Deserts,29-05-2023
Mini Oven Baked Munchies 6 x 28 g,6009101884957,69.99,0.17,Bread_Bakery_Deserts,29-05-2023
Bakers Original Strawberry Whirls Biscuits 200 g,6001056633000,39.99,0.2,Bread_Bakery_Deserts,29-05-2023
Fruit Cake Loaf 400 g,20009212,89.99,0.4,Bread_Bakery_Deserts,29-05-2023
Caramel Swiss Rolls 5 pk,20009540,69.99,,Bread_Bakery_Deserts,29-05-2023
Carrot Teacake Loaf 420 g,20176891,74.99,0.42,Bread_Bakery_Deserts,29-05-2023
Cheese Flavoured Rice Crackers 100 g,6009171329594,32.99,0.1,Bread_Bakery_Deserts,29-05-2023
Heat & Eat Garlic Butter Filled Ciabatta 360 g,6008000498913,58.99,0.36,Bread_Bakery_Deserts,29-05-2023
Sea Salt Crackers 185 g,6009101884834,41.99,0.18,Bread_Bakery_Deserts,29-05-2023
Bakers Original Mini Blue Label Marie Biscuits 5 x 40 g,6009704170655,39.99,0.2,Bread_Bakery_Deserts,29-05-2023
Chocolate Cupcakes 9 pk,20190170,66.99,,Bread_Bakery_Deserts,29-05-2023
Mini Pita Bread 12 pk,6001009028594,42.99,,Bread_Bakery_Deserts,29-05-2023
Multigrain Rice Cakes 100 g,20169961,29.99,0.1,Bread_Bakery_Deserts,29-05-2023
Chutney Flavoured Mini Rice Cakes 30 g,6009175826204,14.99,0.03,Bread_Bakery_Deserts,29-05-2023
Bakers Original Mini Tennis Biscuits 5 x 40 g,6009704170679,39.99,0.2,Bread_Bakery_Deserts,29-05-2023
Heat & Eat Multiseed Wraps 6 pk,6009211254374,39.99,,Bread_Bakery_Deserts,29-05-2023
Crispy Rice Crackers 100 g,6009184976594,32.99,0.1,Bread_Bakery_Deserts,29-05-2023
Fresh Butter Rotis 6 x 75 g,6009184330006,69.99,0.45,Bread_Bakery_Deserts,29-05-2023
Bakers Provita Wholewheat Crispbread 233 g,6001056414715,47.99,0.23,Bread_Bakery_Deserts,29-05-2023
Gluten Free Seeded Bread 350 g,6009182092951,69.99,0.35,Bread_Bakery_Deserts,29-05-2023
Multiseed Rye Bread 400 g,6009173925473,46.99,0.4,Bread_Bakery_Deserts,29-05-2023
Soetkoekies 200 g,6001009018663,49.99,0.2,Bread_Bakery_Deserts,29-05-2023
Wholewheat Pita Breads 6 pk,6009204538528,42.99,,Bread_Bakery_Deserts,29-05-2023
Plain Water Biscuits 125 g,6009101884407,31.99,0.12,Bread_Bakery_Deserts,29-05-2023
Bakers Original Boudoir Biscuits 200 g,6001056413978,39.99,0.2,Bread_Bakery_Deserts,29-05-2023
Chocolate & White Chocolate Mousse Swirls 3 x 125 ml,6009101171804,39.99,0.38,Bread_Bakery_Deserts,29-05-2023
Assorted Cupcakes 9 pk,20190187,66.99,,Bread_Bakery_Deserts,29-05-2023
White Sandwich Bread Thins 8 Slices,6009211226333,15.99,,Bread_Bakery_Deserts,29-05-2023
Bakers Provita Wholewheat Crispbread 2 x 125 g,6001056414326,35.99,0.25,Bread_Bakery_Deserts,29-05-2023
Chocolate Cake 600 g,20049430,119.99,0.6,Bread_Bakery_Deserts,29-05-2023
Mini Sour Cream and Chives Flavoured Rice Crackers 15 g,6009171329655,11.99,0.01,Bread_Bakery_Deserts,29-05-2023
Lemon Swirl Cheesecake 445 g,20176723,119.99,0.45,Bread_Bakery_Deserts,29-05-2023
Vanilla Caramel Cupcakes 9 pk,20190262,66.99,,Bread_Bakery_Deserts,29-05-2023
Oat and Sesame Rice Cakes 100 g,20093020,29.99,0.1,Bread_Bakery_Deserts,29-05-2023
Dark Chocolate Brownie Bites 12 pk,6009000029237,64.99,,Bread_Bakery_Deserts,29-05-2023
