name,barcode,price,weight,category,date
Bakers Provita Original Wheat Toast Crackerbread 125 g,6001056414319,34.99,0.12,Pantry,29-05-2023
Wild Blossom Honey 375 g,6009178222591,92.99,0.38,Pantry,29-05-2023
Bakers Provita Wholewheat Crispbread 4 x 125 g,6001056414340,57.99,0.5,Pantry,29-05-2023
Hand Cooked Sea Salt and Black Pepper Potato Crisps 125 g,6009184110462,23.99,0.12,Pantry,29-05-2023
Joko™ Tea 100 pk,6001089120843,49.99,,Pantry,29-05-2023
Kellogg's All Bran Flakes 500 g,6001306105509,62.99,0.5,Pantry,29-05-2023
Playful Penguins Mini Cheese Flavoured Crackers 6 x 28 g,6009101884940,69.99,0.17,Pantry,29-05-2023
Basil Pesto 140 g,6008000249812,59.99,0.14,Pantry,29-05-2023
Soft Eating Gelatine Free Gums 125 g,20001025,27.99,0.12,Pantry,29-05-2023
Pitted Green Manzanilla Olives 180 g,6009173574466,24.99,0.18,Pantry,29-05-2023
Light Meat Tuna Shredded in Brine 3 x 170 g,6009195372293,71.99,0.51,Pantry,29-05-2023
Tastic Basmati Rice 1 kg,6001231081411,69.99,1.0,Pantry,29-05-2023
Futurelife Smart Food Chocolate Flavoured Cereal 500 g,6009801741093,48.99,0.5,Pantry,29-05-2023
Nescafé Gold Cappuccino Sachets    10 x 18 g,8801055063598,69.99,0.18,Pantry,29-05-2023
White Spirit Vinegar 750 ml,6009101961788,24.99,0.75,Pantry,29-05-2023
Tomato Paste 70 g,20103354,17.99,0.07,Pantry,29-05-2023
Hullets Sugar 2.5 kg,6001042000304,53.99,5.0,Pantry,29-05-2023
Butter Beans in Brine 400 g,20138134,28.99,0.4,Pantry,29-05-2023
Long Life Full Cream Milk 1 L,6009171079987,18.99,1.0,Pantry,29-05-2023
Bakers Salticrax 400 g,6009704171409,52.99,0.4,Pantry,29-05-2023
Asian Coconut Cream 400 ml,20175696,39.99,0.4,Pantry,29-05-2023
No Added Salt and Sugar Peanut Butter 770 g,6009204961258,76.99,0.77,Pantry,29-05-2023
Three Cheese Straws 125 g,20178048,59.99,0.12,Pantry,29-05-2023
Tomato Paste 140 g,6009184618586,35.99,0.14,Pantry,29-05-2023
Cake Wheat Flour 2.5 kg,20036461,36.99,5.0,Pantry,29-05-2023
Futurelife Smart Food Original Flavour Cereal 500 g,6009679326071,48.99,0.5,Pantry,29-05-2023
Bakers Provita Rye Toast Crackerbread 125 g,6001056414333,34.99,0.12,Pantry,29-05-2023
Bokomo Otees Multigrain Toasted Wheat Free Cereal 400 g,6001052002985,50.99,0.4,Pantry,29-05-2023
Cadbury Dairy Milk Top Deck 80 g,6001065600109,20.99,0.08,Pantry,29-05-2023
Butterfly Popcorn 500 g,6001009013453,24.99,0.5,Pantry,29-05-2023
Roast Beef Flavoured Quicksticks Noodles 75 g,6009182678148,10.99,0.07,Pantry,29-05-2023
Smooth Apricot Jam 900 g,6001009010377,42.99,0.9,Pantry,29-05-2023
Luxury Muesli 1 kg,20140830,79.99,1.0,Pantry,29-05-2023
Roasted and Salted Cocktail Peanuts 450 g,6009178950128,58.99,0.45,Pantry,29-05-2023
Strawberry Jam with Extra Fruit 340 g,20003036,74.99,0.34,Pantry,29-05-2023
Long Life Full Cream Milk 6 x 250 ml,6009173506726,49.99,1.5,Pantry,29-05-2023
Snowflake Cake Wheat Flour 2.5 kg,6001205102562,41.99,5.0,Pantry,29-05-2023
Tomato and Basil Pasta Sauce 375 ml,20130350,62.99,0.38,Pantry,29-05-2023
Whole Peeled Tomatoes in Tomato Juice 400 g,20074609,28.99,0.4,Pantry,29-05-2023
Kellogg's Corn Flakes 500 g,6001306015501,49.99,0.5,Pantry,29-05-2023
Nestlé Hot Chocolate 500 g,6001068379200,79.99,0.5,Pantry,29-05-2023
Cadbury Dairy Milk Chocolate 80 g,6001065600048,20.99,0.08,Pantry,29-05-2023
Cadbury Dairy Milk Wholenut 80 g,6001065036144,20.99,0.08,Pantry,29-05-2023
Nescafé Classic Instant Coffee 200 g,7613033677724,104.99,0.2,Pantry,29-05-2023
Berry Muesli 1 kg,6009101708574,79.99,1.0,Pantry,29-05-2023
Bakers Iced Zoo Vanilla Flavoured Biscuits 150 g,6001056036702,43.99,0.15,Pantry,29-05-2023
Sunflower Oil 750 ml,20003388,33.99,0.75,Pantry,29-05-2023
Bakers Original Classic Choc Romany Creams 200 g,6001125001877,34.99,0.2,Pantry,29-05-2023
Black Pepper and Sea Salt Set,6001009014047,55.99,,Pantry,29-05-2023
Butter Shortbread 220 g,6009175277402,59.99,0.22,Pantry,29-05-2023
Bakers Cream Crackers 200 g,6001056414296,27.99,0.2,Pantry,29-05-2023
